""", ""Секунда, Микросекунда"
1,11,591992
2,11,602330
3,11,612619
4,11,623314
5,11,633586
6,11,644738
7,11,655125
8,11,665823
9,11,676112
10,11,686841
11,11,698305
12,11,708911
13,11,719275
14,11,731195
15,11,741537
16,11,752098
17,11,762386
18,11,773214
19,11,783539
20,11,794226
21,11,804588
22,11,815104
23,11,825396
24,11,836059
25,11,846382
26,11,856826
27,11,867843
28,11,878163
29,11,888454
30,11,901551
31,11,911869
32,11,922161
33,11,949820
34,11,967512
35,11,978310
36,11,988507
37,11,999371
38,12,9664
39,12,20468
40,12,31155
41,12,42450
42,12,52780
43,12,63131
44,12,73611
45,12,84497
46,12,94830
47,12,105876
48,12,116213
49,12,126791
50,12,137188
51,12,148164
52,12,158477
53,12,169231
54,12,179531
55,12,190192
56,12,200525
57,12,211235
58,12,221612
59,12,232753
60,12,243261
61,12,253752
62,12,264518
63,12,275097
64,12,285473
65,12,296145
66,12,306481
67,12,317150
68,12,327459
69,12,338152
70,12,348520
71,12,359889
72,12,370243
73,12,383678
74,12,394000
75,12,404296
76,12,415637
77,12,426165
78,12,436651
79,12,447888
80,12,458500
81,12,468867
82,12,479422
83,12,489806
84,12,500410
85,12,510711
86,12,521296
87,12,531464
88,12,541997
89,12,552367
90,12,563057
91,12,573358
92,12,587834
93,12,598695
94,12,609532
95,12,620454
96,12,631810
97,12,642152
98,12,652762
99,12,663057
100,12,673748
101,12,684087
102,12,694733
103,12,705107
104,12,715727
105,12,726029
106,12,736789
107,12,747760
108,12,758290
109,12,768672
110,12,779362
111,12,789693
112,12,800385
113,12,810670
114,12,821315
115,12,831490
116,12,842084
117,12,852448
118,12,865658
119,12,876094
120,12,886387
121,12,898845
122,12,909132
123,12,919886
124,12,931168
125,12,941514
126,12,952069
127,12,962391
128,12,973120
129,12,983457
130,12,994040
131,13,4394
132,13,15110
133,13,25404
134,13,36035
135,13,46335
136,13,56980
137,13,67345
138,13,77946
139,13,88276
140,13,99033
141,13,109335
142,13,121056
143,13,131634
144,13,141955
145,13,152639
146,13,163105
147,13,173426
148,13,184217
149,13,194520
150,13,205101
151,13,215470
152,13,225934
153,13,236252
154,13,247960
155,13,258258
156,13,269254
157,13,279594
158,13,290219
159,13,300403
160,13,323834
161,13,334107
162,13,344747
163,13,355833
164,13,369883
165,13,383800
166,13,394561
167,13,405539
168,13,415721
169,13,425858
170,13,436268
171,13,446409
172,13,457054
173,13,467754
174,13,478766
175,13,489393
176,13,499972
177,13,512041
178,13,522471
179,13,535256
180,13,545401
181,13,555667
182,13,568651
183,13,579013
184,13,590248
185,13,603432
186,13,618761
187,13,629059
188,13,639649
189,13,651861
190,13,662223
191,13,672784
192,13,685340
193,13,695685
194,13,706392
195,13,718404
196,13,728735
197,13,739424
198,13,751641
199,13,761928
200,13,772234
201,13,784833
202,13,795190
203,13,805842
204,13,818890
205,13,829190
206,13,839933
207,13,851948
208,13,862234
209,13,872863
210,13,885298
211,13,895590
212,13,905930
213,13,918423
214,13,928737
215,13,939103
216,13,952187
217,13,962520
218,13,973004
219,13,985092
220,13,995458
221,14,5841
222,14,18759
223,14,29175
224,14,39425
225,14,50912
226,14,61211
227,14,71677
228,14,85522
229,14,95806
230,14,106247
231,14,119097
232,14,129413
233,14,140217
234,14,152126
235,14,162444
236,14,172793
237,14,185343
238,14,195673
239,14,206378
240,14,218613
241,14,228905
242,14,239316
243,14,251926
244,14,262295
245,14,272709
246,14,284234
247,14,294806
248,14,306471
249,14,317228
250,14,327553
251,14,337885
252,14,350119
253,14,360414
254,14,370748
255,14,381994
256,14,392301
257,14,402958
258,14,415251
259,14,425577
260,14,436189
261,14,447906
262,14,458214
263,14,468874
264,14,479210
265,14,489783
266,14,500150
267,14,510809
268,14,521145
269,14,531825
270,14,542127
271,14,552762
272,14,564143
273,14,574831
274,14,585158
275,14,596083
276,14,606424
277,14,617334
278,14,627677
279,14,638701
280,14,649036
281,14,659767
282,14,670100
283,14,681345
284,14,691652
285,14,702330
286,14,712663
287,14,723503
288,14,733832
289,14,744374
290,14,754701
291,14,765301
292,14,775633
293,14,786611
294,14,797682
295,14,808349
296,14,818684
297,14,829373
298,14,839785
299,14,850451
300,14,860781
